"Geo Code","Geo Name","Line Number"
"2021A00053548001","South Algonquin",781409
"2021A00053548013","Papineau-Cameron",784040
"2021A00053548019","Mattawan",786671
"2021A00053548021","Mattawa",789302
"2021A00053548022","Calvin",791933
"2021A00053548027","Bonfield",794564
"2021A00053548031","Chisholm",797195
"2021A00053548034","East Ferris",799826
"2021A00053548044","North Bay",802457
"2021A00053548055","West Nipissing / Nipissing Ouest",805088
"2021A00053548069","Temagami",807719
"2021A00053548072","Bear Island 1",810350
"2021A00053548073","Nipissing 10",812981
"2021A00053548091","Nipissing, Unorganized, South Part",815612
"2021A00053548094","Nipissing, Unorganized, North Part",818243
"2021A00053549003","Seguin",820874
"2021A00053549005","The Archipelago",823505
"2021A00053549012","McMurrich/Monteith",826136
"2021A00053549014","Perry",828767
"2021A00053549018","Kearney",831398
"2021A00053549019","Armour",834029
"2021A00053549022","Burk's Falls",836660
"2021A00053549024","Ryerson",839291
"2021A00053549028","McKellar",841922
"2021A00053549031","McDougall",844553
"2021A00053549032","Parry Sound",847184
"2021A00053549036","Carling",849815
"2021A00053549039","Whitestone",852446
"2021A00053549043","Magnetawan",855077
"2021A00053549046","Strong",857708
"2021A00053549048","Sundridge",860339
"2021A00053549051","Joly",862970
"2021A00053549054","Machar",865601
"2021A00053549056","South River",868232
"2021A00053549060","Powassan",870863
"2021A00053549066","Callander",873494
"2021A00053549071","Nipissing",876125
"2021A00053549072","Shawanaga 17",878756
"2021A00053549073","Parry Island First Nation",881387
"2021A00053549075","Henvey Inlet 2",884018
"2021A00053549076","French River 13",886649
"2021A00053549077","Dokis 9",889280
"2021A00053549078","Magnetewan 1",891911
"2021A00053549093","Naiscoutaing 17A",894542
"2021A00053549095","Parry Sound, Unorganized, North East Part",897173
"2021A00053549096","Parry Sound, Unorganized, Centre Part",899804
"2021A00053551001","Tehkummah",902435
"2021A00053551006","Central Manitoulin",905066
"2021A00053551011","Assiginack",907697
"2021A00053551017","Northeastern Manitoulin and the Islands",910328
"2021A00053551021","Billings",912959
"2021A00053551026","Gore Bay",915590
"2021A00053551027","Gordon/Barrie Island",918221
"2021A00053551028","Burpee and Mills",920852
"2021A00053551034","Cockburn Island",923483
"2021A00053551040","Whitefish River 4",926114
"2021A00053551041","Sucker Creek 23",928745
"2021A00053551042","Sheguiandah 24",931376
"2021A00053551043","Wikwemikong Unceded",934007
"2021A00053551044","Sheshegwaning 20",936638
"2021A00053551045","M'Chigeeng 22",939269
"2021A00053551094","Manitoulin, Unorganized, West Part",941900
"2021A00053551100","Zhiibaahaasing 19A",944531
"2021A00053552001","French River / Rivière des Français",947162
"2021A00053552004","St.-Charles",949793
"2021A00053552013","Markstay-Warren",952424
"2021A00053552023","Sables-Spanish Rivers",955055
"2021A00053552026","Espanola",957686
"2021A00053552028","Baldwin",960317
"2021A00053552031","Nairn and Hyman",962948
"2021A00053552036","Killarney",965579
"2021A00053552037","Point Grondine 3",968210
"2021A00053552051","Whitefish Lake 6",970841
"2021A00053552052","Mattagami 71",973472
"2021A00053552053","Chapleau 74A",976103
"2021A00053552054","Duck Lake 76B",978734
"2021A00053552056","Chapleau Cree Fox Lake",981365
"2021A00053552058","Chapleau 75",983996
"2021A00053552092","Chapleau",986627
"2021A00053552093","Sudbury, Unorganized, North Part",989258
"2021A00053553005","Greater Sudbury / Grand Sudbury",991889
"2021A00053553040","Wahnapitei 11",994520
"2021A00053554001","Coleman",997151
"2021A00053554006","Latchford",999782
"2021A00053554008","Cobalt",1002413
"2021A00053554014","Harris",1005044
"2021A00053554020","Temiskaming Shores",1007675
"2021A00053554021","Hudson",1010306
"2021A00053554024","Kerns",1012937
"2021A00053554026","Harley",1015568
"2021A00053554029","Casey",1018199
"2021A00053554032","Brethour",1020830
"2021A00053554034","Hilliard",1023461
"2021A00053554036","Armstrong",1026092
"2021A00053554038","Thornloe",1028723
"2021A00053554042","James",1031354
"2021A00053554044","Charlton and Dack",1033985
"2021A00053554049","Evanturel",1036616
"2021A00053554052","Englehart",1039247
"2021A00053554054","Chamberlain",1041878
"2021A00053554056","Matachewan",1044509
"2021A00053554057","Matachewan 72",1047140
"2021A00053554058","McGarry",1049771
"2021A00053554062","Larder Lake",1052402
"2021A00053554066","Gauthier",1055033
"2021A00053554068","Kirkland Lake",1057664
"2021A00053554091","Timiskaming, Unorganized, East Part",1060295
"2021A00053554094","Timiskaming, Unorganized, West Part",1062926
"2021A00053556014","Black River-Matheson",1065557
"2021A00053556027","Timmins",1068188
"2021A00053556031","Iroquois Falls",1070819
"2021A00053556033","Abitibi 70",1073450
"2021A00053556042","Cochrane",1076081
"2021A00053556048","Smooth Rock Falls",1078712
"2021A00053556052","Fauquier-Strickland",1081343
"2021A00053556056","Moonbeam",1083974
"2021A00053556066","Kapuskasing",1086605
"2021A00053556070","Val Rita-Harty",1089236
"2021A00053556073","Opasatika",1091867
"2021A00053556076","Hearst",1094498
"2021A00053556077","Mattice-Val Côté",1097129
"2021A00053556091","Cochrane, Unorganized, South West Part",1099760
"2021A00053556092","Cochrane, Unorganized, North Part",1102391
"2021A00053556093","Fort Albany (Part) 67",1105022
"2021A00053556094","Factory Island 1",1107653
"2021A00053556095","Constance Lake 92",1110284
"2021A00053556096","Moose Factory 68",1112915
"2021A00053556098","Cochrane, Unorganized, South East Part",1115546
"2021A00053556100","Flying Post 73",1118177
"2021A00053556102","New Post 69A",1120808
"2021A00053556106","Moosonee",1123439
"2021A00053557001","Jocelyn",1126070
"2021A00053557004","Hilton",1128701
"2021A00053557006","Hilton Beach",1131332
"2021A00053557008","St. Joseph",1133963
"2021A00053557011","Laird",1136594
"2021A00053557014","Tarbutt and Tarbutt Additional",1139225
"2021A00053557016","Johnson",1141856
"2021A00053557019","Plummer Additional",1144487
"2021A00053557021","Bruce Mines",1147118
"2021A00053557026","Thessalon 12",1149749
"2021A00053557028","Thessalon",1152380
"2021A00053557035","Huron Shores",1155011
"2021A00053557038","Blind River",1157642
"2021A00053557039","Spanish",1160273
"2021A00053557040","The North Shore",1162904
"2021A00053557041","Elliot Lake",1165535
"2021A00053557051","Macdonald, Meredith and Aberdeen Additional",1168166
"2021A00053557061","Sault Ste. Marie",1170797
"2021A00053557066","Prince",1173428
"2021A00053557071","Sagamok",1176059
"2021A00053557072","Serpent River 7",1178690
"2021A00053557073","Mississagi River 8",1181321
"2021A00053557074","Garden River 14",1183952
"2021A00053557075","Rankin Location 15D",1186583
"2021A00053557076","Wawa",1189214
"2021A00053557077","Goulais Bay 15A",1191845
"2021A00053557078","Gros Cap 49",1194476
"2021A00053557079","Dubreuilville",1197107
"2021A00053557091","White River",1199738
"2021A00053557092","Obadjiwan 15E",1202369
"2021A00053557094","Algoma, Unorganized, South East Part",1205000
"2021A00053557095","Algoma, Unorganized, North Part",1207631
"2021A00053557096","Hornepayne",1210262
"2021A00053558001","Neebing",1212893
"2021A00053558003","Fort William 52",1215524
"2021A00053558004","Thunder Bay",1218155
"2021A00053558011","Oliver Paipoonge",1220786
"2021A00053558012","Gillies",1223417
"2021A00053558016","O'Connor",1226048
